"director_id";"movie_id"
1;378879
2;281325
3;30621
3;304743
4;60570
5;63525
6;118137
8;4860
8;18086
8;18458
8;23136
8;36169
8;58625
8;83754
8;90571
8;90573
8;131879
8;165214
8;166374
8;175886
8;177826
8;177841
8;179870
8;200627
8;205062
8;223321
8;227724
8;237051
8;239311
8;247163
8;249858
8;262889
8;270188
8;271663
8;271667
8;271757
8;283885
8;299400
8;300290
8;339759
8;352881
8;354315
9;232582
10;343779
11;239313
12;166846
12;261141
13;382897
13;382898
14;79376
15;140388
16;175114
17;4719
17;36265
18;142397
19;234536
21;65495
22;163180
22;170922
22;198671
22;207893
22;211486
22;271630
22;333030
22;341541
22;343406
22;394792
23;1807
25;381842
26;71939
26;145050
26;285322
27;278204
28;5334
28;295075
28;338551
29;72709
31;80762
31;86476
31;117490
31;157146
31;157784
31;200860
31;208470
31;214985
31;219248
31;289021
31;330376
31;347746
31;363005
32;27631
32;188130
32;235574
32;348839
32;398143
33;207526
33;350027
34;393734
35;34429
36;278871
37;49754
37;112471
37;131679
37;180403
37;306391
38;66707
39;389219
40;231371
41;210163
42;49100
42;99356
42;242949
42;277372
42;327787
42;376861
43;240578
44;220510
45;184732
45;234685
45;280727
45;296459
45;370129
46;28684
47;226433
48;303791
49;242676
50;45872
50;344198
51;163931
51;295498
52;210206
52;210207
52;248057
52;379976
52;389327
52;395111
52;399011
52;399431
52;404656
52;404853
52;405367
52;406127
52;407456
52;410243
52;411292
53;58431
53;64718
53;86252
53;123520
53;182253
53;182266
53;312954
54;13492
54;21868
55;326270
56;58172
56;67900
56;155836
56;196888
57;196831
58;78431
58;246659
59;4154
59;4431
59;17094
59;36147
59;36149
59;43292
59;59390
59;59396
59;85373
59;85374
59;88490
59;92493
59;98110
59;98455
59;109404
59;128053
59;136402
59;137817
59;145581
59;170250
59;172542
59;186195
59;222449
59;227414
59;228844
59;247995
59;248803
59;254730
59;271034
59;284757
59;298241
59;326676
59;335339
60;164978
61;98471
61;98494
61;109110
61;295544
61;300318
62;5253
62;202301
62;325195
62;350810
63;328631
64;176931
65;341130
66;227442
67;148381
68;347407
69;36445
70;313951
70;316755
71;10865
71;50036
71;210208
71;240744
71;291225
71;297839
72;7132
72;112605
73;59685
74;241578
74;263307
74;312366
74;334410
75;38808
75;55447
75;60171
75;77448
75;137548
75;157247
75;204744
75;224301
75;246859
75;291733
75;292822
75;315100
75;335638
75;364544
76;70932
79;256333
80;361223
81;185505
81;195809
81;379667
81;381124
81;382642
81;383209
81;386686
81;389988
81;390018
81;393193
81;396109
81;397224
81;398538
81;398539
81;398979
81;399601
81;401850
81;404265
81;410797
81;410964
81;411411
82;388149
83;224424
84;360008
85;66984
86;335225
86;345313
87;8276
87;25048
87;162775
88;63230
88;377710
89;9764
89;78612
89;174529
90;6228
90;25456
90;25703
90;31481
90;95225
90;95227
90;124676
90;126982
90;139349
90;171842
90;172710
90;176414
90;198579
90;199681
90;208787
90;223339
90;271588
90;278162
90;284696
90;303358
90;322881
90;375536
91;222298
92;19910
92;19914
92;27763
92;178242
92;220686
92;284635
92;288236
93;4901
93;7268
93;7713
93;8596
93;8924
93;9391
93;9751
93;15346
93;16554
93;19918
93;20651
93;23040
93;28900
93;33211
93;43147
93;92089
93;100901
93;108641
93;117886
93;127005
93;136868
93;137611
93;152389
93;155165
93;157338
93;162670
93;163782
93;165646
93;172712
93;173844
93;183085
93;206604
93;221641
93;225766
93;226474
93;230066
93;276306
93;285534
93;285540
93;289281
93;323063
93;323688
93;324985
93;332733
93;348929
93;358017
93;358198
93;375556
94;191483
94;275014
95;172576
95;184066
96;281075
97;19723
97;155960
97;270956
97;275637
97;371899
98;178950
98;285969
99;46577
99;186488
99;268580
100;175742
100;284758
101;88475
102;382845
102;399738
102;402449
103;137996
104;20404
104;200518
104;239370
104;244092
104;244093
104;248324
104;258379
104;261938
104;275970
104;305141
104;305216
104;357344
105;16971
107;91258
108;370493
109;318210
110;33240
110;324880
111;33240
111;34535
111;124845
111;201011
111;293718
112;69746
113;202809
113;202810
114;63702
114;384218
114;390730
115;255768
115;327044
116;327804
116;382289
116;394016
117;238832
118;373380
118;389663
118;411884
119;245883
120;178391
121;138786
122;21813
122;138485
122;179397
122;232573
122;288352
123;236537
124;39405
124;65427
124;161117
124;234184
124;299909
124;341772
124;348526
124;358473
125;137844
126;121499
127;107635
127;162567
128;11899
128;129707
128;227741
128;316810
129;8563
129;211360
129;259895
129;282058
129;358655
130;107635
130;162567
131;99606
131;188278
131;199171
131;309015
132;157894
133;399050
134;387387
134;388205
135;118677
136;201491
136;309567
137;335639
137;384725
137;398727
137;398781
137;405469
137;406414
138;233251
139;10281
139;122299
139;257347
140;36486
140;38716
140;45444
140;49112
140;49116
140;49120
140;77084
140;144251
140;174386
140;174485
140;193537
140;202096
140;202414
140;226671
140;246555
140;249636
140;266974
140;284680
140;285402
140;322972
140;344201
141;270617
142;123494
142;165612
142;198384
143;69244
144;95713
145;195730
146;68129
147;390120
148;87225
148;366571
148;389771
149;80821
149;227509
149;336914
150;150854
151;15862
151;60481
151;103613
151;202256
151;285994
152;131104
152;230428
152;383655
152;405092
152;405714
153;358200
154;354972
155;387188
156;109821
157;92679
158;274494
159;267265
160;309757
161;320592
162;395680
163;387370
164;311259
165;12729
165;14934
165;27949
165;53094
165;54345
165;55366
165;67744
165;74989
165;91407
165;101514
165;101800
165;103505
165;103973
165;112107
165;112157
165;125720
165;128057
165;128058
165;128059
165;159367
165;192963
165;192969
165;207591
165;225559
165;273665
165;277198
165;279826
165;308896
165;322719
165;335174
165;335177
165;339132
165;351557
166;221723
166;296499
167;225778
168;129831
169;289031
170;320396
171;251367
172;121865
173;63933
174;53432
174;120261
174;244664
175;250606
176;219231
177;175906
177;175910
177;226082
177;226734
177;341510
178;152332
179;63411
180;25126
180;77345
180;111137
180;320010
180;341127
181;9756
181;15328
181;28900
181;31479
181;36599
181;36600
181;38325
181;76854
181;109749
181;137952
181;152143
181;183008
181;183076
181;184081
181;186390
181;216703
181;221781
181;221802
181;222463
181;268559
181;268560
181;272991
181;285902
181;288038
181;296607
181;297615
181;300818
181;324996
181;358232
181;361585
181;374186
182;355085
183;125469
184;214676
185;203313
185;308645
186;155057
187;311831
188;8490
188;14510
188;60718
188;144690
188;180609
188;264955
188;339955
188;353779
189;114129
189;382130
190;176495
190;195145
190;215461
190;394409
190;395432
190;407344
191;387209
192;383718
192;384119
192;396180
192;398661
192;398816
193;44307
193;44800
193;57030
193;61232
193;72244
193;88830
193;93659
193;112495
193;120743
193;128221
193;133427
193;140135
193;144583
193;149420
193;215915
193;235218
193;254532
193;262329
193;272139
193;276754
193;277976
193;282357
193;283865
193;292885
193;305763
193;308393
193;309853
193;316196
193;321532
193;329026
193;329120
193;363740
193;379312
193;384326
193;391564
193;393822
194;400
194;9125
194;28665
194;36871
194;150350
194;150351
194;165422
194;283944
194;335880
194;361167
194;401761
195;94254
196;352995
197;6122
198;2108
199;288311
200;108580
201;87553
201;281798
202;95652
203;24862
203;89981
203;351063
204;16539
205;327094
206;320663
207;375347
208;132439
209;64374
210;68346
211;178962
211;242867
211;315963
212;267105
213;215880
213;379661
213;388566
213;396022
214;195106
214;245709
214;317740
215;357125
216;253049
216;299553
216;398154
217;160973
218;401
218;34071
218;39118
218;42189
218;46978
218;48340
218;84298
218;90211
218;109091
218;128953
218;138180
218;166848
218;173730
218;174722
218;182264
218;192929
218;198016
218;224916
218;243672
218;248932
218;261150
218;276291
218;281199
218;281907
218;310493
218;314911
218;315578
218;321970
218;333617
218;338884
218;341697
218;354595
218;357797
218;357802
218;377301
218;394085
218;403914
218;408999
219;21792
219;46782
219;61557
219;64870
219;69048
219;97204
219;101503
219;107298
219;116733
219;117377
219;143215
219;143417
219;154047
219;157045
219;198049
219;209382
219;218930
219;219919
219;220007
219;241477
219;244088
219;295811
219;302906
219;302948
219;308012
219;348083
219;365668
219;368991
220;82092
220;278526
220;366910
220;405828
221;29293
222;341146
222;344717
223;269531
223;373811
224;103666
225;68621
226;70701
226;256153
226;377617
227;379001
227;379648
227;396333
227;398806
227;400482
227;403782
228;70048
229;406313
230;63805
232;7347
232;101761
232;165042
232;308448
233;148047
233;273740
233;353176
234;50081
235;67608
235;67615
235;157251
235;318614
235;379660
235;380507
235;380567
235;383353
235;384125
235;386562
235;386601
235;386602
235;387297
235;387485
235;388546
235;389969
235;390644
235;391052
235;391055
235;391161
235;394708
235;396676
235;398424
235;398569
235;399154
235;399427
235;401764
235;403705
235;404179
235;405515
235;407178
236;16547
237;215138
238;108522
239;14272
239;203850
240;381015
240;396594
241;127662
241;173542
242;352707
243;23077
244;202290
244;287065
245;23138
245;85451
245;101664
245;204895
245;270170
246;1123
246;9716
246;117527
246;181435
246;228898
246;373022
247;207858
248;379244
248;384867
248;387166
248;389662
248;390380
248;399147
248;399940
248;400445
248;403738
248;404185
248;406987
248;409412
249;348744
250;258597
251;63594
251;86827
251;175881
251;200053
251;209105
251;217780
251;223549
251;228540
251;268586
251;286666
251;303878
251;320507
251;351076
252;72723
253;289331
254;401609
255;405010
256;344279
256;356934
257;108489
258;26508
259;295109
259;307466
259;353671
260;48868
262;237012
263;49443
263;124581
263;139916
263;318524
263;328160
263;377147
264;76534
265;38353
265;63896
265;83508
265;101798
265;107254
265;327878
265;336109
266;172174
267;1447
267;1451
267;288099
268;9942
268;57914
268;80110
268;105604
268;111329
269;9942
269;57914
269;80110
269;105604
270;8527
270;12138
271;27982
271;337458
272;234308
272;386791
272;407431
273;241397
274;334644
274;334689
275;349070
276;119408
276;119409
277;220209
278;136928
278;208864
278;313094
279;410155
280;2252
281;86790
281;258335
281;268821
281;346704
282;84682
282;116441
282;166268
282;278810
282;350083
283;4114
283;25666
283;29020
283;85401
283;183924
283;228863
283;249144
283;299566
283;344368
284;35982
285;311930
286;56234
286;70932
286;204834
286;342753
287;119401
287;277805
288;1985
288;42533
288;261975
289;226924
290;11735
291;19025
292;33963
292;57590
292;161900
292;181623
292;249856
293;353717
294;130059
295;5680
296;26226
296;33526
296;205726
297;2858
297;4507
297;16188
297;23241
297;36679
297;40369
297;83004
297;122451
297;126425
297;137057
297;142017
297;154303
297;155331
297;170676
297;177140
297;179698
297;188747
297;216427
297;229412
297;230172
297;240173
297;267155
297;278900
297;294986
297;358990
297;367235
298;70387
299;100394
300;166101
301;28349
301;34165
301;238188
302;1118
302;133300
302;162805
302;172904
302;255773
302;273137
302;308481
302;311459
302;344939
302;344973
302;374249
302;374666
302;402828
303;205455
303;393419
304;69201
304;144368
304;181596
304;181942
304;262206
304;296033
304;304510
304;320548
304;348890
304;376193
305;168049
306;231771
307;22632
307;138384
308;379830
308;380227
308;381525
308;383994
308;384667
308;385424
308;387144
308;387482
308;387994
308;389275
308;393112
308;393437
308;395229
308;399905
308;402399
308;402812
308;403143
308;404775
308;406854
308;408955
308;409215
308;411229
309;66283
309;158211
309;201588
309;275857
310;323615
311;263894
312;193782
313;26256
313;79611
313;91839
313;117707
313;190269
313;221236
313;245460
313;270587
313;273260
313;274557
313;280833
313;318186
313;399439
314;378536
315;332150
316;379716
316;401930
317;192686
318;50651
319;409312
320;240515
320;330371
321;16354
321;40246
321;138415
321;231982
321;305080
321;313463
322;356161
323;23382
323;48178
323;52630
323;61186
323;67034
323;69298
323;70092
323;74576
323;80311
323;88803
323;114321
323;114322
323;114324
323;137613
323;199001
323;212519
323;213767
323;225033
323;238328
323;247416
323;277390
323;301859
323;301861
323;307804
323;336111
323;341080
323;351650
323;354782
323;355947
323;371753
324;389483
325;146482
325;233542
326;281215
327;379116
328;146663
329;405229
330;404073
331;14422
331;151553
332;71227
333;110331
334;379888
334;404851
334;407640
334;411633
335;127727
335;251340
336;322409
337;307232
338;207599
339;96862
339;152869
340;20719
340;45361
340;45366
340;47241
340;59460
340;77786
340;83120
340;126222
340;131067
340;142827
340;184529
340;245848
340;255593
340;282369
340;299535
340;305619
340;320038
340;335104
340;346958
341;406433
342;77647
343;334647
344;1091
345;384090
345;395988
345;407101
346;64261
347;17320
348;397016
348;403786
348;407648
348;408855
348;411710
349;68614
349;226458
349;272450
349;280313
349;334865
350;8584
350;63866
350;248749
351;110662
352;15440
353;25690
353;199717
354;79256
354;127788
354;145590
354;168355
354;283999
354;285697
354;293439
354;293635
354;293672
354;358905
355;43984
355;328003
355;335262
356;404562
357;196851
358;385594
358;387152
359;5211
359;8865
359;158079
360;147964
361;33173
363;204043
364;400744
365;151
365;167174
365;276541
367;51117
367;98226
367;126137
367;311102
367;325395
367;325426
367;325480
367;325484
367;325537
367;325729
367;325785
367;326033
367;347632
367;388203
367;388246
367;390888
367;392618
367;401310
367;409951
367;411344
367;411347
368;207265
369;268167
370;397820
370;398897
371;63602
371;195114
371;383082
371;386532
371;399768
371;403629
371;404278
372;149682
372;154521
372;180041
372;262155
372;376520
373;215605
373;259989
373;369027
374;225098
375;55411
376;188722
377;30108
377;262507
378;58691
378;95945
378;212289
378;369013
378;385236
379;244463
379;373562
380;59372
380;120064
382;170482
383;378057
384;100567
385;265277
386;251452
387;7942
388;137903
390;399903
391;127515
392;154716
392;314697
392;315172
392;359145
392;381811
393;220456
393;263758
393;275346
394;18013
395;19052
396;389988
397;167564
397;351744
398;40138
399;280259
400;367712
402;154551
403;149671
403;178164
404;286785
404;306291
405;10860
405;316022
406;392890
407;397525
408;255337
408;255338
408;255339
408;255340
408;255341
408;410085
409;194044
409;238140
410;214529
411;394028
412;363896
416;381121
416;387533
416;389042
416;390351
416;394208
416;406267
416;409973
417;382052
417;383631
417;386599
417;387533
417;397740
418;51536
419;164378
420;76197
420;113356
420;215902
420;243243
420;283131
420;283132
420;283133
420;283134
421;348596
422;241021
423;342673
425;92704
427;26418
427;105281
427;191714
427;283718
427;290307
427;340808
428;16922
428;35817
428;39555
428;39859
